#{"t_start": 1747672933.9881659, "env_id": "None"}
r,l,t
-603.621887,500,11.140425
-212.785561,158,12.202066
-196.809798,134,13.223578
-756.423312,500,16.751425
-730.099743,500,20.296165
-649.924488,492,29.157523
-708.408905,500,32.957146
-612.41932,375,36.049652
-824.480125,500,40.164224
-575.867649,500,50.436158
-350.25788,230,52.30252
-638.611522,431,55.861205
-647.162229,500,59.933536
-925.071924,472,63.789784
-617.249798,500,73.813513
-665.515406,500,78.192045
-36.817919,33,78.495392
-750.74076,500,83.188817
-120.667623,89,83.993839
-541.261206,500,88.617628
-200.261384,156,90.08063
-627.502707,500,101.355762
-669.883128,414,105.202358
-782.545571,500,109.853235
-463.103101,380,113.351995
-847.254043,500,141.272186
-896.462734,500,145.879706
-311.401631,225,147.916704
-246.660014,158,149.430271
-919.20035,500,153.979354
-818.619097,500,158.589626
-587.060126,500,169.86626
-375.498654,323,172.798522
-717.839105,500,177.376177
-497.027948,331,180.490193
-883.967193,500,191.689487
-775.776267,500,196.272384
-677.241979,500,200.896937
-364.958697,262,203.314456
-623.259203,500,207.914372
-743.037856,500,219.175672
-681.513908,500,223.778614
-642.215774,500,228.383333
-587.203972,500,233.0206
-784.63508,500,244.447586
-560.385972,500,249.056273
-584.444017,500,253.655241
-489.190449,500,266.798271
-813.087793,500,278.267085
-788.938691,500,282.895998
-662.695104,500,287.458548
-671.495947,500,292.077372
-577.821329,500,303.436282
-584.7083,500,308.052803
-598.234,500,312.637824
-791.29252,500,317.205307
-590.732587,500,334.357022
-593.864871,500,339.001152
-745.264172,500,343.571483
-535.720095,500,348.162237
-534.262721,500,360.392144
-691.672025,500,365.001097
-644.106236,500,369.576529
-525.881487,500,374.154282
-723.793777,500,378.698555
-639.727369,500,390.021169
-634.095196,500,394.604248
-605.78332,500,407.840411
-547.313685,500,412.464765
-751.541158,500,427.760262
-516.247925,500,432.378683
-663.223745,500,436.967769
-594.090994,500,441.550486
-551.891398,500,452.797205
-511.778525,500,457.457593
-521.913775,500,462.050425
-513.08626,500,466.651061
-127.26723,112,467.696881
-519.99111,500,487.880231
