#{"t_start": 1747672934.1894555, "env_id": "None"}
r,l,t
-232.238891,191,8.856585
-563.046628,500,12.287225
-794.545027,500,15.841249
-158.694166,134,16.818487
-842.078417,500,20.351065
-411.848883,316,28.018549
-1022.913693,500,31.654875
-595.995361,500,35.683923
-652.303809,356,38.556516
-760.920047,500,42.675538
-668.17763,500,52.961407
-941.749531,500,57.065069
-989.265317,500,61.1736
-64.094706,42,61.520095
-856.395326,500,65.553338
-691.378244,500,75.633023
-699.76656,500,80.283858
-672.880949,500,84.952292
-305.961605,265,87.399726
-743.093429,468,98.454846
-593.791869,455,102.685592
-421.824301,393,106.255542
-581.315822,500,110.935404
-628.517747,500,124.146055
-884.120509,500,143.462631
-688.178623,500,148.043125
-647.688405,500,152.618322
-713.775088,500,157.182081
-660.815221,500,168.45936
-621.011419,500,173.055667
-727.663829,500,177.665899
-734.909288,500,182.292986
-644.322176,500,193.476333
-989.057615,500,198.111416
-532.863678,500,202.714096
-516.879586,500,207.302228
-682.147148,500,218.562079
-733.800067,500,223.146343
-614.3087,500,227.774641
-783.998626,500,232.401695
-681.666097,500,243.823094
-522.816989,500,248.409623
-680.665652,500,253.013448
-771.537932,500,266.173004
-638.507997,500,277.633073
-575.634125,500,282.268497
-812.380938,500,286.833742
-612.956186,500,291.429572
-568.740903,500,302.798282
-548.903672,500,307.412479
-578.421608,500,312.013011
-643.345097,500,316.56742
-680.708501,500,333.740016
-645.690193,500,338.360802
-842.618608,500,342.945172
-937.804156,500,347.53615
-614.596915,500,352.128194
-551.563594,500,364.359272
-659.776774,500,368.938323
-654.33062,500,373.522885
-568.694974,500,378.073627
-480.663858,500,389.396521
-649.679058,500,393.972151
-708.317384,500,407.208789
-535.844167,500,411.821368
-597.283221,500,427.119658
-540.736535,500,431.736219
-496.692135,500,436.336057
-601.510317,500,440.92656
-715.768631,500,452.179805
-570.994685,500,456.837103
-933.089789,500,461.431056
-608.486758,500,466.041124
-450.795209,500,486.226188
-732.009412,500,490.841073
-612.237421,500,495.411896
-574.845249,500,500.022982
-707.308204,500,513.783325
-711.186556,500,518.400398
-835.935458,500,522.992067
-582.813362,500,527.599749
-572.830219,500,539.187572
-510.640618,500,543.774929
-509.085055,500,556.828336
-570.95515,500,561.466098
-547.532166,500,572.850312
-849.741853,500,577.428163
-768.279959,500,581.990323
-651.871114,500,586.575971
-723.543952,500,597.935864
-572.198355,500,602.523729
-425.639316,500,607.13816
-454.522374,500,611.736345
-593.418007,500,623.222932
-585.97472,500,627.8641
-516.470118,500,632.477286
-649.512196,500,637.055491
-634.635651,500,648.287765
-502.106267,500,652.875525
-512.754711,500,657.450578
-579.291792,500,662.032593
-552.695233,500,666.635738
-512.535018,500,677.90097
-553.451722,500,690.949219
-575.17683,500,695.552393
-550.849868,500,700.132701
-588.111388,500,711.667666
-551.744641,500,716.479258
-631.701123,500,721.23863
-523.333102,500,726.021673
-571.754388,500,738.892283
-551.062819,500,743.703456
-587.949888,500,748.440943
-743.869922,500,753.15561
-494.810528,500,764.54374
-555.317668,500,769.173914
-622.964137,500,773.769862
-532.350425,500,778.374993
-453.180969,500,789.633664
-460.932201,500,794.25804
-503.874499,500,798.860007
-584.990942,500,803.473715
-485.031196,500,814.953226
-520.701994,500,827.97917
-594.05037,500,832.575866
-502.011294,500,837.178653
-718.152569,500,848.467769
-528.220884,500,853.101691
-699.773213,500,857.700403
-607.648065,500,862.345769
-644.585875,500,873.671077
-721.455435,500,878.265912
-483.999592,500,882.897601
-442.150041,500,887.506018
-470.778781,500,901.018036
-440.131578,500,905.612068
-522.956728,500,910.278249
-504.403295,500,914.937856
-438.571253,500,926.299169
-556.878774,500,930.874811
-425.039525,500,935.473278
-495.044646,500,940.068299
-473.879729,500,944.63879
-633.249264,500,964.234934
-564.513851,500,968.809856
-592.793164,500,973.402016
-559.515963,500,977.973505
-602.97382,500,989.275575
-416.236111,500,993.902193
-411.829346,500,998.485052
-477.471126,500,1003.042791
-492.16807,500,1014.349098
-542.99887,500,1018.915537
-494.850039,500,1023.526099
-459.629455,500,1028.101181
-541.306576,500,1039.653273
-553.444331,500,1044.239284
-482.621,500,1048.813771
-436.350742,500,1053.360695
-646.831678,500,1064.75887
-589.236445,500,1069.359799
-668.233808,500,1073.942127
-378.579071,500,1078.506762
-649.888655,500,1098.386052
-382.385924,500,1103.020148
-552.962332,500,1107.637161
-397.958826,500,1112.251062
-364.074058,500,1123.532511
-658.322872,500,1128.150786
-717.028824,500,1132.711601
-505.655438,500,1137.267022
-528.278483,500,1148.565159
-432.127188,500,1153.146639
-389.224008,500,1157.722544
-494.496284,500,1162.315435
-596.427023,500,1173.737526
-424.589274,500,1178.343786
-457.688409,500,1182.954209
-532.037682,500,1187.539927
-480.744485,500,1198.872871
-554.739575,500,1203.527987
-410.77823,500,1208.169878
-586.055595,500,1212.764472
-510.648947,500,1232.625499
-358.848983,500,1237.266707
-440.031941,500,1241.848349
-564.068016,500,1246.480672
-596.648925,500,1251.085406
-434.208326,500,1262.690845
-417.696779,500,1267.297428
-424.330591,500,1271.878098
-477.37706,500,1276.50172
-452.688339,500,1287.804968
-566.972758,500,1292.424992
-545.49367,500,1297.079879
-682.541847,500,1301.690511
-387.475181,500,1313.117378
-443.91244,500,1317.723382
-354.071698,500,1322.312784
-563.593436,500,1326.927678
-370.135641,500,1338.304765
-426.510838,500,1342.879077
-421.818877,500,1347.508416
-506.676175,500,1360.565646
-401.010293,500,1372.002268
-376.218032,500,1376.622218
-474.30853,500,1381.21037
-548.857615,500,1385.820403
-584.51294,500,1397.399979
-432.840043,500,1402.02003
-660.943833,500,1406.60924
-492.947467,500,1411.216563
-649.771122,500,1422.47434
-566.775659,500,1427.100825
-488.149275,500,1431.716944
-396.689156,500,1436.310729
-615.431418,500,1447.628618
-508.853861,500,1452.236145
-367.696456,500,1456.852436
-646.026059,500,1461.453494
-453.495116,500,1472.902358
-481.526202,500,1477.495031
-384.342468,500,1482.108448
-423.228539,500,1495.234636
-395.490709,500,1506.533682
-355.82696,500,1511.11345
-849.529603,500,1515.678347
-635.569963,500,1520.298878
-578.100635,500,1524.894278
-417.463331,500,1536.462711
-395.971481,500,1541.0701
-381.994259,500,1545.662506
-383.104474,500,1550.27937
-402.433598,500,1561.618354
-484.08463,500,1566.200582
-576.820699,500,1570.798248
-517.134541,500,1575.398362
-504.198457,500,1586.866168
-492.245966,500,1591.482173
-417.540513,500,1596.100343
-709.144103,500,1600.672416
-434.026644,500,1612.038311
-466.93245,500,1616.672022
-495.649968,500,1629.788106
-386.995586,500,1634.368236
-668.740128,500,1645.82854
-504.548507,500,1650.428662
-388.164082,500,1655.036863
-338.86946,500,1659.778963
-471.628802,500,1671.780581
-410.251887,500,1676.551839
-654.831585,500,1681.318722
-374.325428,500,1686.130317
-341.715367,500,1700.487455
-550.74872,500,1705.097438
-515.398685,500,1709.69058
-369.803919,500,1714.306135
-669.636962,500,1725.61666
-444.41226,500,1730.222995
-545.329524,500,1734.854508
-464.453194,500,1739.467427
-338.04051,500,1750.75774
-435.312045,500,1755.353172
-467.093619,500,1768.556488
-413.616689,500,1773.17245
-463.094687,500,1784.644621
-433.439962,500,1789.262077
-483.106718,500,1793.889788
-412.143955,500,1798.46045
-507.631481,500,1803.014518
-382.198514,500,1814.405609
-341.63109,500,1819.016787
-562.312938,500,1823.652179
-505.596605,500,1828.256067
-446.305693,500,1839.660599
-379.163334,500,1844.260562
-377.912474,500,1848.854632
-481.351711,500,1853.444069
-314.355507,500,1873.331446
-342.170138,500,1877.887181
-521.772804,500,1882.484654
-326.649326,500,1887.098962
-399.427598,500,1898.476937
-388.327901,500,1911.560249
-355.836453,500,1916.172779
-317.770115,500,1920.772812
-423.203512,500,1932.271117
-529.439975,500,1936.855898
-528.506961,500,1941.469183
-286.593516,500,1946.04911
-415.975951,500,1957.379287
-352.155676,500,1961.975059
-397.929802,500,1966.572824
-479.192402,500,1971.17056
-263.69352,500,1982.45587
-428.737256,500,1987.022594
-524.975675,500,1991.600522
-325.553271,500,1996.200692
-532.217559,500,2007.497736
-365.576517,500,2012.10047
-328.374554,500,2016.72558
-311.809649,500,2021.336413
-591.771524,500,2032.780676
-419.303639,500,2045.952127
-353.999404,500,2050.567386
-352.838296,500,2055.174801
-386.03849,500,2075.273114
-644.28512,500,2079.842145
-323.657063,500,2084.443358
-292.852087,500,2089.022317
-589.959935,500,2100.332151
-356.213218,500,2104.916981
-292.355273,500,2109.522333
-397.883502,500,2114.106706
-291.24847,500,2118.727671
-343.224655,500,2130.08894
-392.383431,500,2134.67782
-339.820033,500,2139.287503
-345.426273,500,2143.868728
-498.895044,500,2155.367967
-482.003605,500,2159.943335
-420.090714,500,2164.601601
